,Unnamed: 0,Unnamed: 6,star_name,distance.1,mass.1,radius.1
118,20.0,20.0,2MASSI J0117474-340325 [de],163,20,1.62
119,21.0,21.0,2MASS J01415823-4633574 [de],130,20,1.61
120,22.0,22.0,SDSS J015141.69+124429.6,70,47,0.97
121,23.0,23.0,DENIS-P J020529.0−115925A,65,,
122,24.0,24.0,DENIS-P J020529.0−115925B,65,,
123,25.0,25.0,DENIS-P J020529.0−115925C,65,,
124,26.0,26.0,SDSS J020742.48+000056.2 [de],111,47,0.97
125,27.0,27.0,2MASS J02103857-3015313,101,15,1.53
126,28.0,28.0,2MASS J02340093-6442068,155,20,1.62
127,29.0,29.0,2MASS J02411151-0326587 [de],152,27,1.41
128,30.0,30.0,2MASS J02431371−2453298,35,33,0.99
129,31.0,31.0,LP 771-21,53,78,1.08
130,32.0,32.0,2MASS J02511327+0047364,,,
131,33.0,33.0,Teegarden's star,12.578,80,1.27
132,34.0,34.0,2MASS J02535980+3206373,184,65,1.9
133,35.0,35.0,WISE J0254+0223,24,65,1.9
134,36.0,36.0,DEN 0255-4700,16.2,80,0.97
135,37.0,37.0,2MASS J03185403-3421292 [de],45,49,0.97
136,38.0,38.0,2MASS J03205965+1854233,47,88,1.15
137,39.0,39.0,2MASS J03231002-4631237,192,23,1.66
138,40.0,40.0,SDSS J032553.17+042540.1,59,45,0.95
139,41.0,41.0,2MASS J03264225-2102057 [de],80,18,1.3
140,42.0,42.0,2MASS J03284265+2302051 [de],98,54,0.98
141,43.0,43.0,2MASS J03341218-4953322,27.0,73,1.04
142,44.0,44.0,LP 944-20,20.9,73,1.43
143,45.0,45.0,2MASP J0345432+254023,88,74,1.05
144,46.0,46.0,Teide 1,380,55,3.78
145,47.0,47.0,2MASS J03510004-0052452,48,102,1.27
146,48.0,48.0,2MASS J03552337+1133437,29.8,20,1.32
147,49.0,49.0,DENIS-P J035726.9-441730 [de],130,,
148,50.0,50.0,2MASS J04151954−0935066,18.6,30,0.95
149,51.0,51.0,SDSSp J042348.57-041403.5 [de],50,,
150,52.0,52.0,2MASS J04285096-2253227 [de],85,80,1.09
151,53.0,53.0,2MASS J04351612-1606574,34,100,1.26
152,54.0,54.0,2MASS J04362788-4114465,142,39,1.97
153,55.0,55.0,2MASS J04390101-2353083 [de],29.5,48,0.97
154,56.0,56.0,2MASS J04414489+2301513,470,19,
155,57.0,57.0,2MASS J04433764+0002040,82,22,1.78
156,58.0,58.0,2MASS J04455387-3048204 [de],42,64,1.00
157,59.0,59.0,2MASS J04510093-3402150 [de],69,72,1.04
158,60.0,60.0,2MASS J05002100+0330501 [de],44,64,1.00
159,61.0,61.0,2MASS J05012406-0010452 [de],64,21,1.38
160,62.0,62.0,2MASS J05160945-0445499 [de],73,47,0.97
161,63.0,63.0,2MASS J0523−1403,40,68,1.01
162,64.0,64.0,2MASS 0532+8246,81,83,
163,65.0,65.0,SDSS J053951.99-005902.0,41.62,61,1.01
164,66.0,66.0,2MASS J05591914-1404488 [de],34,,
165,67.0,67.0,LSR 0602+3910 [de],34.6,28,1.41
166,68.0,68.0,2MASS J06085283-2753583,102,38,1.51
167,69.0,69.0,WISEP J061135.13-041024.0A,69,65,
168,70.0,70.0,WISEP J061135.13-041024.0B,69,53,
169,71.0,71.0,2MASS J06244595-4521548 [de],39,56,0.99
170,72.0,72.0,2MASS J06411840-4322329 [de],65,67,1.01
171,73.0,73.0,DENIS-P J0652197-253450 [de],51,75,1.05
172,74.0,74.0,2MASS J07003664+3157266 [de],40,,
173,75.0,75.0,2MASS J07075327-4900503,60,72,1.03
174,76.0,76.0,UGPS J072227.51-054031.2,13.4,26,0.98
175,77.0,77.0,2MASSI J0727182+171001 [de],29.6,41,0.94
176,78.0,78.0,2MASS J07290002-3954043 [de],25.8,37,0.94
177,79.0,79.0,SDSS J074201.41+205520.5 [de],49,43,0.94
178,80.0,80.0,2MASS J0746425+200032 [fr],49.6,,
179,81.0,81.0,DENIS-P J0751164-253043 [de],55,71,1.03
180,82.0,82.0,2MASS J07522390+1612157,60,68,2.01
181,83.0,83.0,DENIS J081730.0-615520,16.1,44,0.94
182,84.0,84.0,DENIS J082303.1−491201A,67,44,
183,85.0,85.0,DENIS J082303.1−491201B,67,28,
184,86.0,86.0,2MASS J08251968+2115521 [de],35,52,0.98
185,87.0,87.0,SDSSp J083008.12+482847.4 [de],43,48,0.99
186,88.0,88.0,LHS 2021,55,88,1.15
187,89.0,89.0,SDSS J083048.80+012831.1 [de],77,46,0.96
188,90.0,90.0,2MASSI J0835425-081923 [de],23.53,62,1.00
189,91.0,91.0,2MASSI J0847287-153237 [de],43,64,1.00
190,92.0,92.0,2MASS J08533619-0329321,27.6,77,1.07
191,93.0,93.0,2MASSI J0859254-194926 [de],50,50,0.98
192,94.0,94.0,2MASSW J0920122+351742 [de],95,,
193,95.0,95.0,2MASSI J0937347+293142,20.0,42,0.94
194,96.0,96.0,2MASS 0939−2448,17.4,32,0.95
195,,,star_name,distance,mass,radius
196,0.0,0.0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
197,1.0,1.0,2MASS J08283419-1309198,,,
198,2.0,2.0,2MASS J00040288-6410358,192,19,1.63
199,3.0,3.0,LHS 102BC,,,
200,4.0,4.0,2MASS J00242463-0158201,37.7,79,1.09
201,5.0,5.0,2MASS J00250365+4759191AB,143,,
202,6.0,6.0,2MASS J00274197+0503417,236,31,1.44
203,7.0,7.0,2MASS J00275592+2219328,46.9,,
204,8.0,8.0,2MASSW J0030300-145033,87.2,54,0.98
205,9.0,9.0,2MASS J00332386-1521309 [de],131,29,1.43
206,10.0,10.0,2MASS J00345157+0523050,31,42,0.94
207,11.0,11.0,2MASS 0036+1821,28.6,42,0.94
208,12.0,12.0,2MASSW J0045214+163445,57,23,1.62
209,13.0,13.0,WISEP J004701.06+680352.1 [fr],40,12,1.3
210,14.0,14.0,2MASS J00501994-3322402 [de],34,40,0.94
211,15.0,15.0,2MASS J00034227-2822410,,,
212,16.0,16.0,2MASS J00584253-0651239 [de],96,29,1.43
213,17.0,17.0,CFBDS J005910.90–011401.3,30,23,
214,18.0,18.0,2MASSI J0103320+193536,70,52,0.98
215,19.0,19.0,SDSSp J010752.33+004156.1 [de],51,52,0.98
216,20.0,20.0,2MASSI J0117474-340325 [de],163,20,1.62
217,21.0,21.0,2MASS J01415823-4633574 [de],130,20,1.61
218,22.0,22.0,SDSS J015141.69+124429.6,70,47,0.97
219,23.0,23.0,DENIS-P J020529.0−115925A,65,,
220,24.0,24.0,DENIS-P J020529.0−115925B,65,,
221,25.0,25.0,DENIS-P J020529.0−115925C,65,,
222,26.0,26.0,SDSS J020742.48+000056.2 [de],111,47,0.97
223,27.0,27.0,2MASS J02103857-3015313,101,15,1.53
224,28.0,28.0,2MASS J02340093-6442068,155,20,1.62
225,29.0,29.0,2MASS J02411151-0326587 [de],152,27,1.41
226,30.0,30.0,2MASS J02431371−2453298,35,33,0.99
227,31.0,31.0,LP 771-21,53,78,1.08
228,32.0,32.0,2MASS J02511327+0047364,,,
229,33.0,33.0,Teegarden's star,12.578,80,1.27
230,34.0,34.0,2MASS J02535980+3206373,184,65,1.9
231,35.0,35.0,WISE J0254+0223,24,65,1.9
232,36.0,36.0,DEN 0255-4700,16.2,80,0.97
233,37.0,37.0,2MASS J03185403-3421292 [de],45,49,0.97
234,38.0,38.0,2MASS J03205965+1854233,47,88,1.15
235,39.0,39.0,2MASS J03231002-4631237,192,23,1.66
236,40.0,40.0,SDSS J032553.17+042540.1,59,45,0.95
237,41.0,41.0,2MASS J03264225-2102057 [de],80,18,1.3
238,42.0,42.0,2MASS J03284265+2302051 [de],98,54,0.98
239,43.0,43.0,2MASS J03341218-4953322,27.0,73,1.04
240,44.0,44.0,LP 944-20,20.9,73,1.43
241,45.0,45.0,2MASP J0345432+254023,88,74,1.05
242,46.0,46.0,Teide 1,380,55,3.78
243,47.0,47.0,2MASS J03510004-0052452,48,102,1.27
244,48.0,48.0,2MASS J03552337+1133437,29.8,20,1.32
245,49.0,49.0,DENIS-P J035726.9-441730 [de],130,,
246,50.0,50.0,2MASS J04151954−0935066,18.6,30,0.95
247,51.0,51.0,SDSSp J042348.57-041403.5 [de],50,,
248,52.0,52.0,2MASS J04285096-2253227 [de],85,80,1.09
249,53.0,53.0,2MASS J04351612-1606574,34,100,1.26
250,54.0,54.0,2MASS J04362788-4114465,142,39,1.97
251,55.0,55.0,2MASS J04390101-2353083 [de],29.5,48,0.97
252,56.0,56.0,2MASS J04414489+2301513,470,19,
253,57.0,57.0,2MASS J04433764+0002040,82,22,1.78
254,58.0,58.0,2MASS J04455387-3048204 [de],42,64,1.00
255,59.0,59.0,2MASS J04510093-3402150 [de],69,72,1.04
256,60.0,60.0,2MASS J05002100+0330501 [de],44,64,1.00
257,61.0,61.0,2MASS J05012406-0010452 [de],64,21,1.38
258,62.0,62.0,2MASS J05160945-0445499 [de],73,47,0.97
259,63.0,63.0,2MASS J0523−1403,40,68,1.01
260,64.0,64.0,2MASS 0532+8246,81,83,
261,65.0,65.0,SDSS J053951.99-005902.0,41.62,61,1.01
262,66.0,66.0,2MASS J05591914-1404488 [de],34,,
263,67.0,67.0,LSR 0602+3910 [de],34.6,28,1.41
264,68.0,68.0,2MASS J06085283-2753583,102,38,1.51
265,69.0,69.0,WISEP J061135.13-041024.0A,69,65,
266,70.0,70.0,WISEP J061135.13-041024.0B,69,53,
267,71.0,71.0,2MASS J06244595-4521548 [de],39,56,0.99
268,72.0,72.0,2MASS J06411840-4322329 [de],65,67,1.01
269,73.0,73.0,DENIS-P J0652197-253450 [de],51,75,1.05
270,74.0,74.0,2MASS J07003664+3157266 [de],40,,
271,75.0,75.0,2MASS J07075327-4900503,60,72,1.03
272,76.0,76.0,UGPS J072227.51-054031.2,13.4,26,0.98
273,77.0,77.0,2MASSI J0727182+171001 [de],29.6,41,0.94
274,78.0,78.0,2MASS J07290002-3954043 [de],25.8,37,0.94
275,79.0,79.0,SDSS J074201.41+205520.5 [de],49,43,0.94
276,80.0,80.0,2MASS J0746425+200032 [fr],49.6,,
277,81.0,81.0,DENIS-P J0751164-253043 [de],55,71,1.03
278,82.0,82.0,2MASS J07522390+1612157,60,68,2.01
279,83.0,83.0,DENIS J081730.0-615520,16.1,44,0.94
280,84.0,84.0,DENIS J082303.1−491201A,67,44,
281,85.0,85.0,DENIS J082303.1−491201B,67,28,
282,86.0,86.0,2MASS J08251968+2115521 [de],35,52,0.98
283,87.0,87.0,SDSSp J083008.12+482847.4 [de],43,48,0.99
284,88.0,88.0,LHS 2021,55,88,1.15
285,89.0,89.0,SDSS J083048.80+012831.1 [de],77,46,0.96
286,90.0,90.0,2MASSI J0835425-081923 [de],23.53,62,1.00
287,91.0,91.0,2MASSI J0847287-153237 [de],43,64,1.00
288,92.0,92.0,2MASS J08533619-0329321,27.6,77,1.07
289,93.0,93.0,2MASSI J0859254-194926 [de],50,50,0.98
290,94.0,94.0,2MASSW J0920122+351742 [de],95,,
291,95.0,95.0,2MASSI J0937347+293142,20.0,42,0.94
292,96.0,96.0,2MASS 0939−2448,17.4,32,0.95
293,,,star_name,distance,mass,radius
294,0.0,0.0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
295,1.0,1.0,2MASS J08283419-1309198,,,
296,2.0,2.0,2MASS J00040288-6410358,192,19,1.63
297,3.0,3.0,LHS 102BC,,,
298,4.0,4.0,2MASS J00242463-0158201,37.7,79,1.09
299,5.0,5.0,2MASS J00250365+4759191AB,143,,
300,6.0,6.0,2MASS J00274197+0503417,236,31,1.44
301,7.0,7.0,2MASS J00275592+2219328,46.9,,
302,8.0,8.0,2MASSW J0030300-145033,87.2,54,0.98
303,9.0,9.0,2MASS J00332386-1521309 [de],131,29,1.43
304,10.0,10.0,2MASS J00345157+0523050,31,42,0.94
305,11.0,11.0,2MASS 0036+1821,28.6,42,0.94
306,12.0,12.0,2MASSW J0045214+163445,57,23,1.62
307,13.0,13.0,WISEP J004701.06+680352.1 [fr],40,12,1.3
308,14.0,14.0,2MASS J00501994-3322402 [de],34,40,0.94
309,15.0,15.0,2MASS J00034227-2822410,,,
310,16.0,16.0,2MASS J00584253-0651239 [de],96,29,1.43
311,17.0,17.0,CFBDS J005910.90–011401.3,30,23,
312,18.0,18.0,2MASSI J0103320+193536,70,52,0.98
313,19.0,19.0,SDSSp J010752.33+004156.1 [de],51,52,0.98
314,20.0,20.0,2MASSI J0117474-340325 [de],163,20,1.62
315,21.0,21.0,2MASS J01415823-4633574 [de],130,20,1.61
316,22.0,22.0,SDSS J015141.69+124429.6,70,47,0.97
317,23.0,23.0,DENIS-P J020529.0−115925A,65,,
318,24.0,24.0,DENIS-P J020529.0−115925B,65,,
319,25.0,25.0,DENIS-P J020529.0−115925C,65,,
320,26.0,26.0,SDSS J020742.48+000056.2 [de],111,47,0.97
321,27.0,27.0,2MASS J02103857-3015313,101,15,1.53
322,28.0,28.0,2MASS J02340093-6442068,155,20,1.62
323,29.0,29.0,2MASS J02411151-0326587 [de],152,27,1.41
324,30.0,30.0,2MASS J02431371−2453298,35,33,0.99
325,31.0,31.0,LP 771-21,53,78,1.08
326,32.0,32.0,2MASS J02511327+0047364,,,
327,33.0,33.0,Teegarden's star,12.578,80,1.27
328,34.0,34.0,2MASS J02535980+3206373,184,65,1.9
329,35.0,35.0,WISE J0254+0223,24,65,1.9
330,36.0,36.0,DEN 0255-4700,16.2,80,0.97
331,37.0,37.0,2MASS J03185403-3421292 [de],45,49,0.97
332,38.0,38.0,2MASS J03205965+1854233,47,88,1.15
333,39.0,39.0,2MASS J03231002-4631237,192,23,1.66
334,40.0,40.0,SDSS J032553.17+042540.1,59,45,0.95
335,41.0,41.0,2MASS J03264225-2102057 [de],80,18,1.3
336,42.0,42.0,2MASS J03284265+2302051 [de],98,54,0.98
337,43.0,43.0,2MASS J03341218-4953322,27.0,73,1.04
338,44.0,44.0,LP 944-20,20.9,73,1.43
339,45.0,45.0,2MASP J0345432+254023,88,74,1.05
340,46.0,46.0,Teide 1,380,55,3.78
341,47.0,47.0,2MASS J03510004-0052452,48,102,1.27
342,48.0,48.0,2MASS J03552337+1133437,29.8,20,1.32
343,49.0,49.0,DENIS-P J035726.9-441730 [de],130,,
344,50.0,50.0,2MASS J04151954−0935066,18.6,30,0.95
345,51.0,51.0,SDSSp J042348.57-041403.5 [de],50,,
346,52.0,52.0,2MASS J04285096-2253227 [de],85,80,1.09
347,53.0,53.0,2MASS J04351612-1606574,34,100,1.26
348,54.0,54.0,2MASS J04362788-4114465,142,39,1.97
349,55.0,55.0,2MASS J04390101-2353083 [de],29.5,48,0.97
350,56.0,56.0,2MASS J04414489+2301513,470,19,
351,57.0,57.0,2MASS J04433764+0002040,82,22,1.78
352,58.0,58.0,2MASS J04455387-3048204 [de],42,64,1.00
353,59.0,59.0,2MASS J04510093-3402150 [de],69,72,1.04
354,60.0,60.0,2MASS J05002100+0330501 [de],44,64,1.00
355,61.0,61.0,2MASS J05012406-0010452 [de],64,21,1.38
356,62.0,62.0,2MASS J05160945-0445499 [de],73,47,0.97
357,63.0,63.0,2MASS J0523−1403,40,68,1.01
358,64.0,64.0,2MASS 0532+8246,81,83,
359,65.0,65.0,SDSS J053951.99-005902.0,41.62,61,1.01
360,66.0,66.0,2MASS J05591914-1404488 [de],34,,
361,67.0,67.0,LSR 0602+3910 [de],34.6,28,1.41
362,68.0,68.0,2MASS J06085283-2753583,102,38,1.51
363,69.0,69.0,WISEP J061135.13-041024.0A,69,65,
364,70.0,70.0,WISEP J061135.13-041024.0B,69,53,
365,71.0,71.0,2MASS J06244595-4521548 [de],39,56,0.99
366,72.0,72.0,2MASS J06411840-4322329 [de],65,67,1.01
367,73.0,73.0,DENIS-P J0652197-253450 [de],51,75,1.05
368,74.0,74.0,2MASS J07003664+3157266 [de],40,,
369,75.0,75.0,2MASS J07075327-4900503,60,72,1.03
370,76.0,76.0,UGPS J072227.51-054031.2,13.4,26,0.98
371,77.0,77.0,2MASSI J0727182+171001 [de],29.6,41,0.94
372,78.0,78.0,2MASS J07290002-3954043 [de],25.8,37,0.94
373,79.0,79.0,SDSS J074201.41+205520.5 [de],49,43,0.94
374,80.0,80.0,2MASS J0746425+200032 [fr],49.6,,
375,81.0,81.0,DENIS-P J0751164-253043 [de],55,71,1.03
376,82.0,82.0,2MASS J07522390+1612157,60,68,2.01
377,83.0,83.0,DENIS J081730.0-615520,16.1,44,0.94
378,84.0,84.0,DENIS J082303.1−491201A,67,44,
379,85.0,85.0,DENIS J082303.1−491201B,67,28,
380,86.0,86.0,2MASS J08251968+2115521 [de],35,52,0.98
381,87.0,87.0,SDSSp J083008.12+482847.4 [de],43,48,0.99
382,88.0,88.0,LHS 2021,55,88,1.15
383,89.0,89.0,SDSS J083048.80+012831.1 [de],77,46,0.96
384,90.0,90.0,2MASSI J0835425-081923 [de],23.53,62,1.00
385,91.0,91.0,2MASSI J0847287-153237 [de],43,64,1.00
386,92.0,92.0,2MASS J08533619-0329321,27.6,77,1.07
387,93.0,93.0,2MASSI J0859254-194926 [de],50,50,0.98
388,94.0,94.0,2MASSW J0920122+351742 [de],95,,
389,95.0,95.0,2MASSI J0937347+293142,20.0,42,0.94
390,96.0,96.0,2MASS 0939−2448,17.4,32,0.95
391,,,star_name,distance,mass,radius
392,0.0,0.0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
393,1.0,1.0,2MASS J08283419-1309198,,,
394,2.0,2.0,2MASS J00040288-6410358,192,19,1.63
395,3.0,3.0,LHS 102BC,,,
396,4.0,4.0,2MASS J00242463-0158201,37.7,79,1.09
397,5.0,5.0,2MASS J00250365+4759191AB,143,,
398,6.0,6.0,2MASS J00274197+0503417,236,31,1.44
399,7.0,7.0,2MASS J00275592+2219328,46.9,,
400,8.0,8.0,2MASSW J0030300-145033,87.2,54,0.98
401,9.0,9.0,2MASS J00332386-1521309 [de],131,29,1.43
402,10.0,10.0,2MASS J00345157+0523050,31,42,0.94
403,11.0,11.0,2MASS 0036+1821,28.6,42,0.94
404,12.0,12.0,2MASSW J0045214+163445,57,23,1.62
405,13.0,13.0,WISEP J004701.06+680352.1 [fr],40,12,1.3
406,14.0,14.0,2MASS J00501994-3322402 [de],34,40,0.94
407,15.0,15.0,2MASS J00034227-2822410,,,
408,16.0,16.0,2MASS J00584253-0651239 [de],96,29,1.43
409,17.0,17.0,CFBDS J005910.90–011401.3,30,23,
410,18.0,18.0,2MASSI J0103320+193536,70,52,0.98
411,19.0,19.0,SDSSp J010752.33+004156.1 [de],51,52,0.98
412,20.0,20.0,2MASSI J0117474-340325 [de],163,20,1.62
413,21.0,21.0,2MASS J01415823-4633574 [de],130,20,1.61
414,22.0,22.0,SDSS J015141.69+124429.6,70,47,0.97
415,23.0,23.0,DENIS-P J020529.0−115925A,65,,
416,24.0,24.0,DENIS-P J020529.0−115925B,65,,
417,25.0,25.0,DENIS-P J020529.0−115925C,65,,
418,26.0,26.0,SDSS J020742.48+000056.2 [de],111,47,0.97
419,27.0,27.0,2MASS J02103857-3015313,101,15,1.53
420,28.0,28.0,2MASS J02340093-6442068,155,20,1.62
421,29.0,29.0,2MASS J02411151-0326587 [de],152,27,1.41
422,30.0,30.0,2MASS J02431371−2453298,35,33,0.99
423,31.0,31.0,LP 771-21,53,78,1.08
424,32.0,32.0,2MASS J02511327+0047364,,,
425,33.0,33.0,Teegarden's star,12.578,80,1.27
426,34.0,34.0,2MASS J02535980+3206373,184,65,1.9
427,35.0,35.0,WISE J0254+0223,24,65,1.9
428,36.0,36.0,DEN 0255-4700,16.2,80,0.97
429,37.0,37.0,2MASS J03185403-3421292 [de],45,49,0.97
430,38.0,38.0,2MASS J03205965+1854233,47,88,1.15
431,39.0,39.0,2MASS J03231002-4631237,192,23,1.66
432,40.0,40.0,SDSS J032553.17+042540.1,59,45,0.95
433,41.0,41.0,2MASS J03264225-2102057 [de],80,18,1.3
434,42.0,42.0,2MASS J03284265+2302051 [de],98,54,0.98
435,43.0,43.0,2MASS J03341218-4953322,27.0,73,1.04
436,44.0,44.0,LP 944-20,20.9,73,1.43
437,45.0,45.0,2MASP J0345432+254023,88,74,1.05
438,46.0,46.0,Teide 1,380,55,3.78
439,47.0,47.0,2MASS J03510004-0052452,48,102,1.27
